Breed,Year,Count
Papillon,1934,24
Pekingese,1934,3738
Pointer,1934,194
German Shorthaired Pointer,1934,17
Pomeranian,1934,1502
Poodle,1934,138
Pug,1934,109
Chesapeake Bay Retriever,1934,103
Flat-Coated Retriever,1934,3
Golden Retriever,1934,32
Labrador Retriever,1934,121
Rottweiler,1934,4
Saint Bernard,1934,332
Saluki,1934,14
Samoyed,1934,113
Schipperke,1934,139
Scottish Deerhound,1934,7
Scottish Terrier,1934,5879
Sealyham Terrier,1934,507
English Setter,1934,649
Gordon Setter,1934,47
Irish Setter,1934,1004
Shetland Sheepdog,1934,63
Siberian Husky,1934,5
Skye Terrier,1934,15
Clumber Spaniel,1934,24
Spaniel (All Cockers),1934,6229
English Springer Spaniel,1934,2332
Irish Water Spaniel,1934,24
Sussex Spaniel,1934,1
Standard Schnauzer,1934,227
Cardigan Welsh Corgi,1934,1
Pembroke Welsh Corgi,1934,8
Welsh Terrier,1934,191
West Highland White Terrier,1934,92
Whippet,1934,36
Wirehaired Pointing Griffon,1934,4
Yorkshire Terrier,1934,67
Eskimo,1934,3
Afghan Hound,1935,12
Airedale Terrier,1935,729
Basset Hound,1935,50
Beagle,1935,4210
Bedlington Terrier,1935,49
Belgian Sheepdog,1935,8
Bloodhound,1935,71
Border Terrier,1935,49
Borzoi,1935,85
Boston Terrier,1935,10587
Bouvier des Flandres,1935,1
Boxer,1935,193
Briard,1935,4
Brittany,1935,7
Brussels Griffon,1935,94
Bull Terrier,1935,311
Bulldog,1935,1706
Bullmastiff,1935,8
Cairn Terrier,1935,562
Chihuahua,1935,428
Chow Chow,1935,3627
Collie,1935,1586
Dachshund,1935,1858
Dalmatian,1935,190
Dandie Dinmont Terrier,1935,55
Doberman Pinscher,1935,1366
English Toy Spaniel (Blenheim and Prince Charles),1935,70
Fox Terrier,1935,7415
American Foxhound,1935,11
English Foxhound,1935,1
French Bulldog,1935,212
German Shepherd,1935,830
Giant Schnauzer,1935,29
Great Dane,1935,952
Great Pyrenees,1935,19
Greyhound,1935,1624
Harrier,1935,1
Irish Terrier,1935,920
Irish Wolfhound,1935,70
Italian Greyhound,1935,7
Japanese Chin,1935,121
Keeshond,1935,41
Kerry Blue Terrier,1935,270
Kuvasz,1935,10
Lakeland Terrier,1935,4
Maltese,1935,13
Manchester Terrier,1935,350
Mastiff,1935,25
Miniature Pinscher,1935,122
Miniature Schnauzer,1935,276
Newfoundland,1935,193
Norwegian Elkhound,1935,150
Old English Sheepdog,1935,106
Papillon,1935,23
Pekingese,1935,4058
Pointer,1935,294
