Breed,Year,Count
Dachshund,1932,453.0
Dalmatian,1932,100.0
Dandie Dinmont Terrier,1932,19.0
Doberman Pinscher,1932,694.0
English Toy Spaniel (Blenheim and Prince Charles),1932,50.0
English Toy Spaniel (All),1932,50.0
Fox Terrier (Smooth),1932,299.0
Fox Terrier (Wire),1932,5719.0
Fox Terrier,1932,6018.0
American Foxhound,1932,10.0
French Bulldog,1932,199.0
German Shepherd,1932,1333.0
Giant Schnauzer,1932,18.0
Great Dane,1932,591.0
Greyhound,1932,11.0
Irish Terrier,1932,726.0
Irish Wolfhound,1932,46.0
Italian Greyhound,1932,1.0
Japanese Chin,1932,67.0
Keeshond,1932,4.0
Kerry Blue Terrier,1932,106.0
Maltese,1932,13.0
Manchester Terrier-XX,1932,9.0
Manchester Terrier (Toy),1932,165.0
Manchester Terrier,1932,174.0
Mastiff,1932,8.0
Miniature Pinscher,1932,20.0
Miniature Schnauzer,1932,68.0
Newfoundland,1932,96.0
Norwegian Elkhound,1932,68.0
Old English Sheepdog,1932,54.0
Otterhound,1932,2.0
Papillon,1932,5.0
Pekingese,1932,3293.0
Pointer,1932,156.0
German Shorthaired Pointer,1932,4.0
Pomeranian,1932,1324.0
Poodle (miniature),1932,39.0
Poodle (toy),1932,5.0
Poodle,1932,44.0
Pug,1932,46.0
Chesapeake Bay Retriever,1932,36.0
Curly-Coated Retriever,1932,82.0
Rottweiler,1932,9.0
Saint Bernard,1932,307.0
Saluki,1932,14.0
Samoyed,1932,120.0
Schipperke,1932,102.0
Scottish Deerhound,1932,1.0
Scottish Terrier,1932,3567.0
Sealyham Terrier,1932,347.0
English Setter,1932,510.0
Gordon Setter,1932,50.0
Irish Setter,1932,798.0
Shetland Sheepdog,1932,34.0
Siberian Husky,1932,9.0
Skye Terrier,1932,7.0
Clumber Spaniel,1932,4.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1932,3473.0
Spaniel (All Cockers),1932,3473.0
English Springer Spaniel,1932,1322.0
Irish Water Spaniel,1932,17.0
Standard Schnauzer,1932,173.0
Welsh Terrier,1932,108.0
West Highland White Terrier,1932,86.0
Whippet,1932,24.0
Yorkshire Terrier,1932,30.0
Eskimo,1932,7.0
Afghan Hound,1933,17.0
Airedale Terrier,1933,552.0
Basset Hound,1933,30.0
Beagle,1933,2896.0
Bedlington Terrier,1933,40.0
Bloodhound,1933,56.0
Border Terrier,1933,4.0
Borzoi,1933,85.0
Boston Terrier,1933,9828.0
Boxer,1933,27.0
Briard,1933,14.0
Brussels Griffon,1933,56.0
Bull Terrier,1933,301.0
Bulldog,1933,1382.0
Cairn Terrier,1933,344.0
Chihuahua,1933,140.0
Chow Chow,1933,3494.0
Collie,1933,1098.0
Dachshund-XX  (long-haired),1933,29.0
Daschund-XX (smooth),1933,788.0
Daschund-XX (wire-haired),1933,47.0
Dachshund,1933,864.0
Dalmatian,1933,117.0
Dandie Dinmont Terrier,1933,20.0
Doberman Pinscher,1933,812.0
English Toy Spaniel (Blenheim and Prince Charles),1933,36.0
English Toy Spaniel (All),1933,36.0
Fox Terrier (Smooth),1933,326.0
Fox Terrier (Wire),1933,6320.0
Fox Terrier,1933,6646.0
American Foxhound,1933,8.0
English Foxhound,1933,14.0
French Bulldog,1933,179.0
German Shepherd,1933,930.0
Giant Schnauzer,1933,15.0
Great Dane,1933,671.0
Great Pyrenees,1933,13.0
Greyhound,1933,32.0
Irish Terrier,1933,717.0
Irish Wolfhound,1933,57.0
Italian Greyhound,1933,3.0
